provinsi,daerah,jenis,tahun,pengeluaran,pengeluaran_kategori,cluster
aceh,PERDESAAN,MAKANAN,2007.0,195176.0,Rendah,2
aceh,PERDESAAN,MAKANAN,2008.0,218781.0,Rendah,2
aceh,PERDESAAN,MAKANAN,2009.0,247427.0,Rendah,2
aceh,PERDESAAN,MAKANAN,2010.0,275749.0,Rendah,2
aceh,PERDESAAN,MAKANAN,2011.0,308000.0,Rendah,2
aceh,PERDESAAN,MAKANAN,2012.0,326182.0,Rendah,2
aceh,PERDESAAN,MAKANAN,2013.0,337761.0,Rendah,2
aceh,PERDESAAN,MAKANAN,2014.0,368080.0,Sedang,2
aceh,PERDESAAN,MAKANAN,2015.0,395136.0,Sedang,1
aceh,PERDESAAN,MAKANAN,2016.0,412251.0,Sedang,1
aceh,PERDESAAN,MAKANAN,2017.0,494150.0,Sedang,1
aceh,PERDESAAN,MAKANAN,2018.0,506656.0,Sedang,1
aceh,PERDESAAN,MAKANAN,2019.0,520759.0,Sedang,1
aceh,PERDESAAN,MAKANAN,2020.0,566947.0,Tinggi,1
aceh,PERDESAAN,MAKANAN,2021.0,597940.0,Tinggi,1
aceh,PERDESAAN,MAKANAN,2022.0,633566.0,Tinggi,1
aceh,PERDESAAN,NONMAKANAN,2007.0,185903.09999999998,Rendah,2
aceh,PERDESAAN,NONMAKANAN,2008.0,185903.09999999998,Rendah,2
aceh,PERDESAAN,NONMAKANAN,2009.0,185903.09999999998,Rendah,2
aceh,PERDESAAN,NONMAKANAN,2010.0,185903.09999999998,Rendah,2
aceh,PERDESAAN,NONMAKANAN,2011.0,185903.09999999998,Rendah,2
aceh,PERDESAAN,NONMAKANAN,2012.0,185903.09999999998,Rendah,2
aceh,PERDESAAN,NONMAKANAN,2013.0,185903.09999999998,Rendah,2
aceh,PERDESAAN,NONMAKANAN,2014.0,195503.0,Rendah,2
aceh,PERDESAAN,NONMAKANAN,2015.0,260183.0,Rendah,2
aceh,PERDESAAN,NONMAKANAN,2016.0,272829.0,Rendah,1
aceh,PERDESAAN,NONMAKANAN,2017.0,287004.0,Rendah,1
aceh,PERDESAAN,NONMAKANAN,2018.0,331248.0,Rendah,1
aceh,PERDESAAN,NONMAKANAN,2019.0,334915.0,Rendah,1
aceh,PERDESAAN,NONMAKANAN,2020.0,378673.0,Sedang,1
aceh,PERDESAAN,NONMAKANAN,2021.0,378673.0,Sedang,1
aceh,PERDESAAN,NONMAKANAN,2022.0,406040.0,Sedang,1
aceh,PERDESAAN,TOTAL,2007.0,296461.0,Rendah,2
aceh,PERDESAAN,TOTAL,2008.0,331288.0,Rendah,2
aceh,PERDESAAN,TOTAL,2009.0,369245.0,Sedang,2
aceh,PERDESAAN,TOTAL,2010.0,415528.0,Sedang,2
aceh,PERDESAAN,TOTAL,2011.0,474699.0,Sedang,2
aceh,PERDESAAN,TOTAL,2012.0,492246.0,Sedang,2
aceh,PERDESAAN,TOTAL,2013.0,508774.0,Sedang,2
aceh,PERDESAAN,TOTAL,2014.0,563583.0,Tinggi,2
aceh,PERDESAAN,TOTAL,2015.0,655319.0,Tinggi,1
aceh,PERDESAAN,TOTAL,2016.0,685080.0,Tinggi,1
aceh,PERDESAAN,TOTAL,2017.0,781155.0,Sangat Tinggi,1
aceh,PERDESAAN,TOTAL,2018.0,837905.0,Sangat Tinggi,1
aceh,PERDESAAN,TOTAL,2019.0,855674.0,Sangat Tinggi,0
aceh,PERDESAAN,TOTAL,2020.0,945621.0,Sangat Tinggi,0
aceh,PERDESAAN,TOTAL,2021.0,976613.0,Sangat Tinggi,0
aceh,PERDESAAN,TOTAL,2022.0,1039606.0,Sangat Tinggi,0
aceh,PERKOTAAN,MAKANAN,2007.0,226639.0,Rendah,2
aceh,PERKOTAAN,MAKANAN,2008.0,258233.0,Rendah,2
aceh,PERKOTAAN,MAKANAN,2009.0,315245.0,Rendah,2
aceh,PERKOTAAN,MAKANAN,2010.0,341142.0,Rendah,2
aceh,PERKOTAAN,MAKANAN,2011.0,383579.0,Sedang,2
aceh,PERKOTAAN,MAKANAN,2012.0,432567.0,Sedang,2
aceh,PERKOTAAN,MAKANAN,2013.0,458451.0,Sedang,2
aceh,PERKOTAAN,MAKANAN,2014.0,505525.0,Sedang,2
aceh,PERKOTAAN,MAKANAN,2015.0,466355.0,Sedang,1
aceh,PERKOTAAN,MAKANAN,2016.0,548853.0,Tinggi,1
aceh,PERKOTAAN,MAKANAN,2017.0,610732.0,Tinggi,1
aceh,PERKOTAAN,MAKANAN,2018.0,637432.0,Tinggi,1
aceh,PERKOTAAN,MAKANAN,2019.0,639421.0,Tinggi,1
aceh,PERKOTAAN,MAKANAN,2020.0,655222.0,Tinggi,1
aceh,PERKOTAAN,MAKANAN,2021.0,734401.0,Tinggi,1
aceh,PERKOTAAN,MAKANAN,2022.0,736172.0,Tinggi,1
aceh,PERKOTAAN,NONMAKANAN,2007.0,210374.0,Rendah,2
aceh,PERKOTAAN,NONMAKANAN,2008.0,249377.0,Rendah,2
aceh,PERKOTAAN,NONMAKANAN,2009.0,256204.0,Rendah,2
aceh,PERKOTAAN,NONMAKANAN,2010.0,307607.0,Rendah,2
aceh,PERKOTAAN,NONMAKANAN,2011.0,373271.0,Sedang,2
aceh,PERKOTAAN,NONMAKANAN,2012.0,385949.0,Sedang,2
aceh,PERKOTAAN,NONMAKANAN,2013.0,470393.0,Sedang,2
aceh,PERKOTAAN,NONMAKANAN,2014.0,470402.0,Sedang,2
aceh,PERKOTAAN,NONMAKANAN,2015.0,529945.0,Tinggi,1
aceh,PERKOTAAN,NONMAKANAN,2016.0,559492.0,Tinggi,1
aceh,PERKOTAAN,NONMAKANAN,2017.0,576134.0,Tinggi,1
aceh,PERKOTAAN,NONMAKANAN,2018.0,633864.0,Tinggi,1
aceh,PERKOTAAN,NONMAKANAN,2019.0,640399.0,Tinggi,1
aceh,PERKOTAAN,NONMAKANAN,2020.0,704431.0,Tinggi,1
aceh,PERKOTAAN,NONMAKANAN,2021.0,724090.0,Tinggi,1
aceh,PERKOTAAN,NONMAKANAN,2022.0,716409.0,Tinggi,1
aceh,PERKOTAAN,TOTAL,2007.0,437013.0,Sedang,2
aceh,PERKOTAAN,TOTAL,2008.0,507609.0,Sedang,2
aceh,PERKOTAAN,TOTAL,2009.0,571449.0,Tinggi,2
aceh,PERKOTAAN,TOTAL,2010.0,648749.0,Tinggi,2
aceh,PERKOTAAN,TOTAL,2011.0,756850.0,Sangat Tinggi,2
aceh,PERKOTAAN,TOTAL,2012.0,818516.0,Sangat Tinggi,2
aceh,PERKOTAAN,TOTAL,2013.0,928844.0,Sangat Tinggi,0
aceh,PERKOTAAN,TOTAL,2014.0,975927.0,Sangat Tinggi,0
aceh,PERKOTAAN,TOTAL,2015.0,996300.0,Sangat Tinggi,0
aceh,PERKOTAAN,TOTAL,2016.0,1108346.0,Sangat Tinggi,0
aceh,PERKOTAAN,TOTAL,2017.0,1186867.0,Sangat Tinggi,0
aceh,PERKOTAAN,TOTAL,2018.0,1271297.0,Sangat Tinggi,0
aceh,PERKOTAAN,TOTAL,2019.0,1279820.0,Sangat Tinggi,0
aceh,PERKOTAAN,TOTAL,2020.0,1326239.499999999,Sangat Tinggi,0
aceh,PERKOTAAN,TOTAL,2021.0,1326239.499999999,Sangat Tinggi,0
aceh,PERKOTAAN,TOTAL,2022.0,1326239.499999999,Sangat Tinggi,0
aceh,PERDESAANPERKOTAAN,MAKANAN,2011.0,329257.0,Rendah,2
aceh,PERDESAANPERKOTAAN,MAKANAN,2012.0,356132.0,Sedang,2
aceh,PERDESAANPERKOTAAN,MAKANAN,2013.0,371838.0,Sedang,2
aceh,PERDESAANPERKOTAAN,MAKANAN,2014.0,406835.0,Sedang,2
aceh,PERDESAANPERKOTAAN,MAKANAN,2015.0,415354.0,Sedang,1
aceh,PERDESAANPERKOTAAN,MAKANAN,2016.0,451952.0,Sedang,1
aceh,PERDESAANPERKOTAAN,MAKANAN,2017.0,529161.0,Tinggi,1
aceh,PERDESAANPERKOTAAN,MAKANAN,2018.0,547668.0,Tinggi,1
aceh,PERDESAANPERKOTAAN,MAKANAN,2019.0,559299.0,Tinggi,1
aceh,PERDESAANPERKOTAAN,MAKANAN,2020.0,595634.0,Tinggi,1
aceh,PERDESAANPERKOTAAN,MAKANAN,2021.0,643591.0,Tinggi,1
aceh,PERDESAANPERKOTAAN,MAKANAN,2022.0,668480.0,Tinggi,1
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2011.0,224798.00000000006,Rendah,2
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2012.0,227968.0,Rendah,2
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2013.0,255543.0,Rendah,2
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2014.0,273015.0,Rendah,2
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2015.0,336764.0,Rendah,2
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2016.0,356142.0,Sedang,1
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2017.0,373833.0,Sedang,1
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2018.0,426149.0,Sedang,1
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2019.0,434133.0,Sedang,1
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2020.0,484536.0,Sedang,1
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2021.0,494227.0,Sedang,1
aceh,PERDESAANPERKOTAAN,NONMAKANAN,2022.0,511651.0,Sedang,1
aceh,PERDESAANPERKOTAAN,TOTAL,2011.0,554055.0,Tinggi,2
aceh,PERDESAANPERKOTAAN,TOTAL,2012.0,584100.0,Tinggi,2
aceh,PERDESAANPERKOTAAN,TOTAL,2013.0,627381.0,Tinggi,2
aceh,PERDESAANPERKOTAAN,TOTAL,2014.0,679850.0,Tinggi,1
aceh,PERDESAANPERKOTAAN,TOTAL,2015.0,752118.0,Tinggi,1
aceh,PERDESAANPERKOTAAN,TOTAL,2016.0,808094.0,Sangat Tinggi,1
aceh,PERDESAANPERKOTAAN,TOTAL,2017.0,902994.0,Sangat Tinggi,0
aceh,PERDESAANPERKOTAAN,TOTAL,2018.0,973817.0,Sangat Tinggi,0
aceh,PERDESAANPERKOTAAN,TOTAL,2019.0,993433.0,Sangat Tinggi,0
aceh,PERDESAANPERKOTAAN,TOTAL,2020.0,1080171.0,Sangat Tinggi,0
aceh,PERDESAANPERKOTAAN,TOTAL,2021.0,1137819.0,Sangat Tinggi,0
aceh,PERDESAANPERKOTAAN,TOTAL,2022.0,1180132.0,Sangat Tinggi,0
sumatera_utara,PERDESAAN,MAKANAN,2007.0,185903.09999999998,Rendah,2
sumatera_utara,PERDESAAN,MAKANAN,2008.0,198301.0,Rendah,2
sumatera_utara,PERDESAAN,MAKANAN,2009.0,219170.99999999994,Rendah,2
sumatera_utara,PERDESAAN,MAKANAN,2010.0,248859.0,Rendah,2
sumatera_utara,PERDESAAN,MAKANAN,2011.0,308555.0,Rendah,2
sumatera_utara,PERDESAAN,MAKANAN,2012.0,340053.0,Rendah,2
sumatera_utara,PERDESAAN,MAKANAN,2013.0,363252.0,Sedang,2
sumatera_utara,PERDESAAN,MAKANAN,2014.0,382056.0,Sedang,2
sumatera_utara,PERDESAAN,MAKANAN,2015.0,413087.0,Sedang,1
sumatera_utara,PERDESAAN,MAKANAN,2016.0,450979.0,Sedang,1
sumatera_utara,PERDESAAN,MAKANAN,2017.0,490603.0,Sedang,1
sumatera_utara,PERDESAAN,MAKANAN,2018.0,519512.0,Sedang,1
sumatera_utara,PERDESAAN,MAKANAN,2019.0,533737.0,Tinggi,1
sumatera_utara,PERDESAAN,MAKANAN,2020.0,544441.0,Tinggi,1
sumatera_utara,PERDESAAN,MAKANAN,2021.0,579669.0,Tinggi,1
sumatera_utara,PERDESAAN,MAKANAN,2022.0,631364.0,Tinggi,1
sumatera_utara,PERDESAAN,NONMAKANAN,2007.0,185903.09999999998,Rendah,2
sumatera_utara,PERDESAAN,NONMAKANAN,2008.0,185903.09999999998,Rendah,2
sumatera_utara,PERDESAAN,NONMAKANAN,2009.0,185903.09999999998,Rendah,2
sumatera_utara,PERDESAAN,NONMAKANAN,2010.0,185903.09999999998,Rendah,2
sumatera_utara,PERDESAAN,NONMAKANAN,2011.0,185903.09999999998,Rendah,2
sumatera_utara,PERDESAAN,NONMAKANAN,2012.0,194661.0,Rendah,2
sumatera_utara,PERDESAAN,NONMAKANAN,2013.0,207533.0,Rendah,2
sumatera_utara,PERDESAAN,NONMAKANAN,2014.0,222017.0,Rendah,2
sumatera_utara,PERDESAAN,NONMAKANAN,2015.0,269407.0,Rendah,2
sumatera_utara,PERDESAAN,NONMAKANAN,2016.0,287255.0,Rendah,1
sumatera_utara,PERDESAAN,NONMAKANAN,2017.0,278114.0,Rendah,1
sumatera_utara,PERDESAAN,NONMAKANAN,2018.0,337487.0,Rendah,1
sumatera_utara,PERDESAAN,NONMAKANAN,2019.0,369051.0,Sedang,1
sumatera_utara,PERDESAAN,NONMAKANAN,2020.0,390593.0,Sedang,1
sumatera_utara,PERDESAAN,NONMAKANAN,2021.0,383019.0,Sedang,1
sumatera_utara,PERDESAAN,NONMAKANAN,2022.0,404273.0,Sedang,1
sumatera_utara,PERDESAAN,TOTAL,2007.0,281752.0,Rendah,2
sumatera_utara,PERDESAAN,TOTAL,2008.0,318276.0,Rendah,2
sumatera_utara,PERDESAAN,TOTAL,2009.0,346793.0,Rendah,2
sumatera_utara,PERDESAAN,TOTAL,2010.0,399267.0,Sedang,2
sumatera_utara,PERDESAAN,TOTAL,2011.0,494174.0,Sedang,2
sumatera_utara,PERDESAAN,TOTAL,2012.0,534713.0,Tinggi,2
sumatera_utara,PERDESAAN,TOTAL,2013.0,570785.0,Tinggi,2
